id,ticker,date,open,high,low,close,adj_close,volume
4454,AMZN,2023-08-29,133.3800,135.1400,133.2500,134.9100,134.9100,38646100
4455,AMZN,2023-08-30,134.9300,135.6800,133.9200,135.0700,135.0700,36137000
4456,AMZN,2023-08-31,135.0600,138.7900,135.0000,138.0100,138.0100,58781300
4457,AMZN,2023-09-01,139.4600,139.9600,136.8800,138.1200,138.1200,40991500
4458,AMZN,2023-09-05,137.7300,137.8000,135.8200,137.2700,137.2700,40636700
4459,AMZN,2023-09-06,136.3200,137.4500,134.6100,135.3600,135.3600,41785500
4460,AMZN,2023-09-07,133.9000,138.0300,133.1600,137.8500,137.8500,48498900
4461,AMZN,2023-09-08,136.8600,138.8500,136.7500,138.2300,138.2300,38348200
4462,AMZN,2023-09-11,138.7500,143.6200,138.6400,143.1000,143.1000,56764500
4463,AMZN,2023-09-12,142.3200,143.0000,140.6100,141.2300,141.2300,42668500
4464,AMZN,2023-09-13,140.9500,144.9800,140.8700,144.8500,144.8500,60465200
4465,AMZN,2023-09-14,145.0800,145.8600,142.9500,144.7200,144.7200,64033600
4466,AMZN,2023-09-15,142.6900,143.5700,140.0900,140.3900,140.3900,102909300
4467,AMZN,2023-09-18,140.4800,141.7500,139.2200,139.9800,139.9800,42823500
4468,AMZN,2023-09-19,138.7000,138.8400,135.5600,137.6300,137.6300,61482500
4469,AMZN,2023-09-20,138.5500,139.3700,135.2000,135.2900,135.2900,46263700
4470,AMZN,2023-09-21,131.9400,132.2400,129.3100,129.3300,129.3300,70343300
4471,AMZN,2023-09-22,131.1100,132.0300,128.5200,129.1200,129.1200,59904300
4472,AMZN,2023-09-25,129.3600,131.7800,128.7700,131.2700,131.2700,46017800
4473,AMZN,2023-09-26,130.1200,130.3900,125.2800,125.9800,125.9800,73048200
4474,AMZN,2023-09-27,125.7600,127.4800,124.1300,125.9800,125.9800,66553400
4475,AMZN,2023-09-28,124.0400,126.5800,123.0400,125.9800,125.9800,54555000
4476,AMZN,2023-09-29,128.2000,129.1500,126.3200,127.1200,127.1200,62411700
4477,AMZN,2023-10-02,127.2800,130.4700,126.5400,129.4600,129.4600,48029700
4478,AMZN,2023-10-03,128.0600,128.5200,124.2500,124.7200,124.7200,51565000
4479,AMZN,2023-10-04,126.0600,127.3600,125.6800,127.0000,127.0000,44203900
4480,AMZN,2023-10-05,126.7100,126.7300,124.3300,125.9600,125.9600,39660600
4481,AMZN,2023-10-06,124.1600,128.4500,124.1300,127.9600,127.9600,46836700
4482,AMZN,2023-10-09,126.2200,128.7900,124.7600,128.2600,128.2600,38773700
4483,AMZN,2023-10-10,128.8200,130.7400,128.0500,129.4800,129.4800,42178600
4484,AMZN,2023-10-11,129.7400,132.0500,129.6100,131.8300,131.8300,40741800
4485,AMZN,2023-10-12,132.1700,134.4800,131.2300,132.3300,132.3300,55528600
