ticker,report_date,period,revenue,cogs,gross_profit,opex,operating_income_ebit,ebt,net_income,ebitda,basic_eps,diluted_eps,total_assets,current_assets,cash_and_equivalents,accounts_receivable,inventory,non_current_assets,total_liabilities,current_liabilities,accounts_payable,short_term_debt,long_term_debt,total_equity,common_stock,retained_earnings,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_ratio,interest_coverage_ratio,roa,roe,gross_margin,net_margin,asset_turnover,inventory_turnover,receivables_turnover
PG,2025-06-30,12M,84284000000.0,41164000000.0,43120000000.0,0,20451000000.0,20167000000.0,15974000000.0,23921000000.0,6.67,6.51,125231000000.0,25392000000.0,9556000000.0,0,7551000000.0,99839000000.0,72947000000.0,36058000000.0,15227000000.0,9512000000.0,24995000000.0,52012000000.0,4009000000.0,129973000000.0,0.7041987908369849,0.49478617782461587,0.26501747185090685,1.4025032684765055,0.582499540848512,22.54796030871003,0.1275562760019484,0.3071214335153426,0.5116036258364577,0.1895258886621423,0.6730282438054476,5.451463382333466,
PG,2024-06-30,12M,84039000000.0,40848000000.0,43191000000.0,0,19886000000.0,18761000000.0,14879000000.0,22582000000.0,6.18,6.02,122370000000.0,24709000000.0,9482000000.0,0,7016000000.0,97661000000.0,71812000000.0,33627000000.0,15364000000.0,7191000000.0,25269000000.0,50286000000.0,4009000000.0,123811000000.0,0.7347964433342254,0.5261545781663545,0.28197579326136735,1.4280714314123215,0.5868431805181008,21.49837837837838,0.12159025905042085,0.2958875233663445,0.5139399564487916,0.17704875117504967,0.6867614611424369,5.82212086659065,
PG,2023-06-30,12M,82006000000.0,42760000000.0,39246000000.0,0,18134000000.0,18353000000.0,14653000000.0,21823000000.0,6.07,5.9,120829000000.0,22648000000.0,8246000000.0,0,7073000000.0,98181000000.0,73764000000.0,35756000000.0,14598000000.0,10229000000.0,24378000000.0,46777000000.0,4009000000.0,118170000000.0,0.6334041839131894,0.4355912294440094,0.23061863743148003,1.5769288325459092,0.6104825828236599,23.986772486772487,0.12127055590959124,0.31325223934839774,0.47857473843377313,0.17868204765504964,0.6786946842231584,6.0455252368160615,
PG,2022-06-30,12M,80187000000.0,42157000000.0,38030000000.0,0,17813000000.0,17995000000.0,14742000000.0,21241000000.0,6.0,5.81,117208000000.0,21653000000.0,7214000000.0,0,6924000000.0,95555000000.0,70354000000.0,33081000000.0,14882000000.0,8645000000.0,22848000000.0,46589000000.0,4009000000.0,112429000000.0,0.6545449049303226,0.44524047036062997,0.2180707959251534,1.5100989503960163,0.6002491297522353,40.57630979498861,0.12577639751552794,0.31642662431045954,0.4742664022846596,0.18384526170077445,0.6841427206334039,6.088532640092432,
UNH,2024-12-31,12M,400278000000.0,310879000000.0,89399000000.0,0,32287000000.0,20071000000.0,14405000000.0,28076000000.0,15.743169,15.51,298278000000.0,85779000000.0,25312000000.0,0,,212499000000.0,195687000000.0,103769000000.0,68561000000.0,4545000000.0,72359000000.0,92658000000.0,9000000.0,96036000000.0,0.8266341585637329,,0.24392641347608632,2.111927734248527,0.6560557600627602,8.26600102406554,0.04829387350055988,0.15546418010317511,0.2233422771174034,0.03598748869535673,1.341962866855752,,
UNH,2023-12-31,12M,371622000000.0,280664000000.0,90958000000.0,0,32358000000.0,29112000000.0,22381000000.0,36330000000.0,24.221861,23.86,273720000000.0,78437000000.0,25427000000.0,0,,195283000000.0,174801000000.0,99054000000.0,64353000000.0,4274000000.0,58263000000.0,88756000000.0,9000000.0,95774000000.0,0.7918610051083248,,0.25669836654753975,1.9694555861012213,0.6386124506795265,9.968576709796674,0.08176603828730089,0.25216323403488217,0.2447594598812772,0.06022517504345814,1.357672073651907,,
UNH,2022-12-31,12M,324162000000.0,244545000000.0,79617000000.0,0,28435000000.0,26343000000.0,20120000000.0,31835000000.0,21.541756,21.18,245705000000.0,69069000000.0,23365000000.0,0,,176636000000.0,159358000000.0,89237000000.0,56771000000.0,3110000000.0,54513000000.0,77772000000.0,9000000.0,86156000000.0,0.7739950917220435,,0.2618308549144413,2.0490407858869517,0.6485745100832299,13.59225621414914,0.08188681549012027,0.25870493236640435,0.24560867714291001,0.062067731566315607,1.3193138112777518,,
UNH,2021-12-31,12M,287597000000.0,217945000000.0,69652000000.0,0,23970000000.0,22310000000.0,17285000000.0,27073000000.0,18.33,18.08,212206000000.0,61758000000.0,21375000000.0,0,,150448000000.0,135727000000.0,78292000000.0,49126000000.0,3620000000.0,42383000000.0,71760000000.0,10000000.0,77134000000.0,0.7888162264343739,,0.2730164001430542,1.891401895206243,0.639600199805849,14.439759036144578,0.08145387029584461,0.24087235228539577,0.2421861145978574,0.060101461419973086,1.355272706709518,,
HD,2025-01-31,12M,159514000000.0,106206000000.0,53308000000.0,0,21526000000.0,19406000000.0,14806000000.0,25488000000.0,14.96,14.91,96119000000.0,31683000000.0,1659000000.0,0,23451000000.0,64436000000.0,89479000000.0,28661000000.0,11938000000.0,4898000000.0,48485000000.0,6640000000.0,90000000.0,89533000000.0,1.1054394473326123,0.28721956665852555,0.05788353511740693,13.475753012048193,0.9309189650329279,9.274450667815596,0.15403822345217907,2.2298192771084335,0.3341901024361498,0.09281943904610254,1.65954701983999,4.52884738390687,
HD,2024-01-31,12M,152669000000.0,101709000000.0,50960000000.0,0,21689000000.0,19924000000.0,15143000000.0,25114000000.0,15.16,15.11,76530000000.0,29775000000.0,3760000000.0,0,20976000000.0,46755000000.0,75486000000.0,22015000000.0,10037000000.0,1368000000.0,42743000000.0,1044000000.0,90000000.0,83656000000.0,1.3524869407222349,0.3996820349761526,0.1707926413808767,72.30459770114942,0.986358290866327,11.162635100360268,0.19787011629426368,14.504789272030651,0.33379402498215094,0.09918844035134834,1.994890892460473,4.848827231121281,
